,날짜,거래량,변동 %
729,2018-01-12,74511000,4.22
730,2018-01-11,78041000,2.88
731,2018-01-10,43401000,1.43
732,2018-01-09,48951000,-1.95
733,2018-01-08,58411000,2.92
734,2018-01-05,52341000,3.3
735,2018-01-04,54701000,-1.92
736,2018-01-03,59971000,1.83
737,2018-01-02,51801000,1.28
738,2017-12-28,35261000,0.3
739,2017-12-27,43671000,5.05
740,2017-12-26,46891000,0.06
741,2017-12-22,40071000,3.92
742,2017-12-21,35091000,-1.66
743,2017-12-20,40181000,-1.54
744,2017-12-19,41971000,-0.46
745,2017-12-18,34261000,-0.45
746,2017-12-15,34141000,0.61
747,2017-12-14,51001000,-0.91
748,2017-12-13,38121000,1.6
749,2017-12-12,35081000,-1.23
750,2017-12-11,45531000,3.85
751,2017-12-08,45531000,-0.22
752,2017-12-07,55341000,-2.17
753,2017-12-06,45031000,-1.9
