,날짜,거래량,변동 %
653,2018-05-04,173911000000,-1.19
654,2018-05-03,117281000000,-0.61
655,2018-05-02,158301000000,-0.32
656,2018-04-30,139571000000,0.86
657,2018-04-27,92191000000,0.86
658,2018-04-26,91041000000,1.3
659,2018-04-25,82181000000,-0.59
660,2018-04-24,94691000000,-0.64
661,2018-04-23,108891000000,0.0
662,2018-04-20,104391000000,-0.7
663,2018-04-19,116871000000,0.46
664,2018-04-18,93161000000,1.27
665,2018-04-17,73081000000,-0.17
666,2018-04-16,69231000000,0.1
667,2018-04-13,92861000000,0.52
668,2018-04-12,95161000000,0.09
669,2018-04-11,108371000000,-0.32
670,2018-04-10,91831000000,0.16
671,2018-04-09,101641000000,0.59
672,2018-04-06,107251000000,-0.46
673,2018-04-05,103601000000,1.46
674,2018-04-04,139801000000,-1.54
675,2018-04-03,132271000000,-0.2
676,2018-04-02,85961000000,-0.19
677,2018-03-30,111261000000,0.25
678,2018-03-29,85491000000,0.64
679,2018-03-28,95211000000,-1.43
680,2018-03-27,86171000000,0.46
681,2018-03-26,82451000000,0.79
682,2018-03-23,102461000000,-3.37
683,2018-03-22,91621000000,0.53
684,2018-03-21,72021000000,-0.06
685,2018-03-20,65021000000,0.45
686,2018-03-19,73051000000,-0.78
687,2018-03-16,75861000000,0.04
688,2018-03-15,70221000000,0.23
689,2018-03-14,76081000000,-0.31
690,2018-03-13,96761000000,0.71
691,2018-03-12,93551000000,0.95
692,2018-03-09,108411000000,0.92
693,2018-03-08,92591000000,1.17
694,2018-03-07,97311000000,0.22
695,2018-03-06,87811000000,1.93
696,2018-03-05,66491000000,-1.22
697,2018-03-02,83591000000,-1.44
698,2018-02-28,94901000000,-1.25
699,2018-02-27,69201000000,-0.16
700,2018-02-26,86351000000,0.17
701,2018-02-23,74331000000,1.49
702,2018-02-22,65201000000,-0.73
703,2018-02-21,61421000000,0.52
704,2018-02-20,56031000000,-1.19
705,2018-02-19,70081000000,0.7
706,2018-02-14,69231000000,1.14
707,2018-02-13,86761000000,0.89
708,2018-02-12,84611000000,1.08
709,2018-02-09,103311000000,-2.18
710,2018-02-08,111641000000,0.37
711,2018-02-07,106921000000,-2.37
712,2018-02-06,126681000000,-1.63
713,2018-02-05,101941000000,-1.14
714,2018-02-02,100571000000,-1.9
715,2018-02-01,92491000000,-0.01
716,2018-01-31,113801000000,-0.01
717,2018-01-30,109651000000,-1.38
718,2018-01-29,121231000000,0.8
719,2018-01-26,112871000000,0.39
720,2018-01-25,124681000000,0.96
721,2018-01-24,89711000000,-0.01
722,2018-01-23,102541000000,1.43
723,2018-01-22,80821000000,-0.99
724,2018-01-19,94691000000,0.12
725,2018-01-18,94901000000,-0.02
726,2018-01-17,95201000000,-0.25
727,2018-01-16,107821000000,0.8
728,2018-01-15,98451000000,0.21
729,2018-01-12,143381000000,0.32
730,2018-01-11,120941000000,-0.59
731,2018-01-10,140731000000,-0.8
732,2018-01-09,100981000000,-0.31
733,2018-01-08,88481000000,0.7
734,2018-01-05,96161000000,1.35
735,2018-01-04,106561000000,-0.78
736,2018-01-03,109851000000,0.35
737,2018-01-02,70741000000,0.39
738,2017-12-28,68941000000,1.4
739,2017-12-27,74281000000,0.43
740,2017-12-26,87521000000,-0.72
741,2017-12-22,81171000000,0.47
742,2017-12-21,86541000000,-1.86
743,2017-12-20,66251000000,-0.3
744,2017-12-19,86091000000,0.05
745,2017-12-18,103111000000,0.11
746,2017-12-15,128651000000,0.46
747,2017-12-14,134161000000,-0.44
748,2017-12-13,90541000000,0.65
749,2017-12-12,91131000000,-0.31
750,2017-12-11,90621000000,0.13
751,2017-12-08,125461000000,0.34
