,지역명,평균관광소요시간,기준연월,콘텐츠아이디,mapx,mapy,시군구명,제목
855,제주특별자치도,93.87332258064517,202107,228854,126.3145222991,33.2322593962,서귀포시,용머리해안
856,경상북도,225.32358064516131,202107,228855,129.4292653737,37.0582783312,울진군,죽변항
857,충청남도,168.81038709677415,202107,228856,126.4710062376,36.5379837191,홍성군,남당항
858,제주특별자치도,142.1838709677419,202107,228859,126.1630063112,33.2941224154,제주시,수월봉과 차귀해안
859,경기도,112.62829032258068,202107,228863,126.5421421795,37.6385297743,김포시,김포 대명항
860,경상북도,142.44774193548386,202107,228866,129.4572632529,36.6787361172,울진군,울진 후포항
861,경기도,55.928064516129034,202107,228874,127.1378229304,37.5751533361,구리시,구리시민한강공원(코스모스공원)
862,서울특별시,122.93735483870968,202107,229901,127.059154116,37.5117453937,강남구,한국종합무역센터(코엑스)
863,경상남도,157.95090322580643,202107,229904,128.4352822108,34.8450768451,통영시,청마문학관
864,전라북도,116.36964516129031,202107,231895,126.8538534326,35.7539160928,김제시,김제 벽골제
865,경기도,168.74012903225807,202107,231916,127.0766027848,37.3057584842,용인시 수지구,심곡서원
866,경상남도,278.7721290322581,202107,231958,127.6428971648,35.2272977091,하동군,하동야생차박물관
867,광주광역시,124.34212903225807,202107,231964,126.8986968221,35.2017405788,북구,남도향토음식박물관·호남문화자료전시관
868,강원도,145.12393548387098,202107,2353577,127.4513042085,38.2812378819,철원군,DMZ 생태평화공원
869,서울특별시,61.12200000000001,202107,2357761,127.0615995466,37.4690781677,서초구,구룡산(서울)
870,강원도,131.440064516129,202107,2357794,127.9238788301,37.3081958755,원주시,원주 허브팜
871,경상북도,93.39054838709677,202107,2357984,128.404364312,36.0177663852,칠곡군,칠곡호국평화기념관
872,경기도,81.3879677419355,202107,2360268,127.072119221,37.42707212,성남시 수정구,편백숲 힐링토피아
873,충청남도,88.01380645161288,202107,2361452,127.1492768994,36.8007708705,천안시 동남구,천안 중앙시장
874,강원도,88.83145161290321,202107,2364045,129.0314578622,37.4658543066,동해시,동해무릉건강숲
875,대구광역시,109.66990322580646,202107,2366462,128.5721868163,35.8746495855,서구,서부 오미(味)가미(味)거리
876,대구광역시,113.5217741935484,202107,2366466,128.5701151199,35.8622926131,서구,반고개 무침회 골목
877,대구광역시,77.65545161290324,202107,2366916,128.5793070853,35.8224056301,남구,앞산 케이블카(앞산 전망대)
